Bag,Category,Height (cm),Width (cm),Depth (cm),Weight (kg),Notes,Product link
"Amazon Basics 21""",Value,55,37.5,25,,"I haven't tested the quality, but reviews are decent and price is right!",https://www.amazon.com/Amazon-Basics-Expandable-Hardside-Scratch-Resistant/dp/B071VG5N9D
Antler Cabin Suitcase,Hard-shell,55,40,20,,"Lightweight and minimalist, good maneuverability",https://www.antler.co.uk/products/clifton-cabin-suitcase-black
Antler Soft Stripe 2.0,Soft-side,55,35,20,1.9,4.1 lb (1.9kg),https://www.antler.co.uk/products/lightest-cabin-suitcase-black-soft-stripe-2
AWAY Bigger Carry-On,Hard-shell,57.66,39.12,24.38,3.58,"Roomier 49L sibling of the AWAY Carry-On — taller and deeper, so expect more close calls",https://www.awaytravel.com/suitcases/bigger-carry-on
AWAY Carry-On,Hard-shell,55,36.7,23,,"A solid choice, especially for North American flights",https://www.awaytravel.com/products/carry-on-jet-black
AWAY Softside Carry-on,Soft-side,55.5,38,23,,I loved using this in Japan,https://www.awaytravel.com/products/softside-carry-on-jet-black
Bagsmart Blast 43L Roller Backpack,Value,55,35,23,,Roller bag & backpack all-in-one for ultimate flexibility,https://www.bagsmart.com/products/blast-roller-backpack
BEIS Carry-On Roller,Hard-shell,57.91,39.88,24.89,3.79,Expandable — unzips to grow about 2 in deeper,https://beistravel.com/products/the-carry-on-roller-in-black
BEIS Small Carry-On,Hard-shell,53,33,22,,"One of the 'shortest' on my list, holds a surprising amount",https://beistravel.com/products/the-small-carry-on-roller-in-black
"Bric's Bellagio 21"" Carry-On",Luxury,53.34,38.1,22.86,3.2,Polycarbonate trunk with Tuscan leather trim; ~$700,https://bricstore.com/products/bellagio-21-spinner
Bric's X-Travel Spinner,Soft-side,53,33,23,,One of my all-time 'go-tos',https://bricstore.com/products/x-travel-spinner-carry-on
"Briggs & Riley Baseline Essential 22"" Carry-On",Soft-side,55.88,35.56,22.86,4.4,Compression-expansion system; lifetime warranty even covers airline damage,https://www.briggs-riley.com/products/essential-2-wheel-carry-on
"Briggs & Riley Global 20"" Carry-on",Soft-side,53.3,38.1,22.9,,"An investment, but one of the highest-rated brands in the luggage world",https://www.briggs-riley.com/products/global-carry-on-spinner
Calpak Ambeur Carry-On,Hard-shell,53.34,34.93,22.86,3.45,Metallic-finish 39L hardside,https://www.calpaktravel.com/products/ambeur-carry-on-luggage/gold
Carl Friedrik The Carry-On,Luxury,56,37,23,4.3,Polycarbonate with aluminium frame and leather trim; ~$700,https://www.carlfriedrik.com/products/the-carry-on-suitcase
Cotopaxi Allpa 35L Backpack,Soft-side,56,30,25,1.33,3 lb (1.33kg),https://www.cotopaxi.com/products/allpa-35l-travel-pack-4
"Delsey Helium DLX 21"" Expandable Carry-On",Soft-side,59.69,36.2,25.4,3.05,40L expanding to 49L — budget-friendly softside standout,https://us.delsey.com/products/402397805-helium-dlx-21inch-expandable-carry-on-spinner
Globe-Trotter Original Carry-On,Luxury,56,42,21,3.7,"Handmade vulcanised fibreboard; 42 cm wide — over many airlines' 40 cm width limit; ~$2,000",https://us.globe-trotter.com/products/original-4-wheels-carry-on-navy-black
Goyard Bourget PM Trolley,Luxury,50,36,24,6.2,"Goyardine canvas, boutique-only; 6.2 kg before you pack anything",https://www.goyard.com/us_en/trolley-bourget-pm-3.html
Hanke 20 Inch Top-Opening,Value,55.88,37,24,,A rare hardshell that is 'top-open' design,https://www.amazon.com/Hanke-Luggage-Suitcases-Suitcase-Lightweight/dp/B0BXL2RVPP
July Carry-On,Hard-shell,54.61,38.1,21.59,3.36,July's flagship 42L hardside,https://july.com/us/luggage/carry-on/
July Carry-On Essential,Hard-shell,55,38.5,21.5,,"I haven't tried July luggage yet, but I've read many positive reviews",https://july.com/us/luggage/carry-on-essentials/
July Carry On Light Expandable,Hard-shell,54,36,22,,Choose this one if you need the most size but light weight,https://july.com/us/luggage/carry-on-light-expandable/
Louis Vuitton Horizon 55,Luxury,55,38,21,3.2,"Marc Newson design with a flat interior; ~$3,450",https://us.louisvuitton.com/eng-us/products/horizon-55-monogram-eclipse-nvprod6440158v/M13771
Monos Carry-On,Hard-shell,55.88,35.56,22.86,,"I love my monos, has worked great all over Europe",https://monos.com/products/carry-on
Monos Carry-On Pro,Hard-shell,55.88,35.56,22.86,3.54,The Monos Carry-On with a front laptop compartment,https://monos.com/products/carry-on-pro
Montblanc MY4810 Cabin Trolley,Luxury,55,38,23,3.95,"Polycarbonate with leather trim, 37L; ~$1,100",https://www.montblanc.com/en-us/my4810-cabin-trolley-MB131957.html
Osprey Farpoint 40 Travel Pack,Soft-side,55,35,23,1.58,"Classic 40L travel backpack — no wheels, so nothing sticking out",https://www.osprey.com/us/en/product/farpoint-40-FARPNT40.html
Paravel Aviator Carry-On,Hard-shell,55.1,34.8,22.8,3.72,"Carbon-neutral, made from recycled polycarbonate",https://tourparavel.com/products/the-aviator-carry-on
Peak Design Travel Backpack 45L,Soft-side,55.88,33.02,24.13,2.05,35L in carry-on mode; expands to 45L and ~28 cm deep — check before you expand,https://www.peakdesign.com/products/travel-backpack
Quince Small Carry-On Suitcase,Value,55.88,36.5,23,,A perfect 'dupe' of the AWAY hardshell (make sure you choose this size),https://www.quince.com/unisex/small-carry-on-hard-shell-suitcase
Rimowa Essential Cabin,Luxury,55,39,23,3.2,Rimowa's polycarbonate cabin — lighter and less spendy than the aluminum Original; ~$950,https://www.rimowa.com/us/en/luggage/colour/black/cabin/83253631.html
Rimowa Original Cabin,Luxury,55,40,23,4.3,"The aluminum icon; ~$1,550",https://www.rimowa.com/us/en/luggage/colour/silver/cabin/92553004.html
Samsonite Freeform Carry-On Spinner,Hard-shell,58.42,38.1,25.4,2.95,Light for a hardside and budget-friendly — a recurring 'best value' pick,https://shop.samsonite.com/luggage-carry-on-luggage/freeform-carry-on-spinner/78255XXXX.html
Solgaard Carry-On Closet (Large),Hard-shell,57,37,24,3.67,Built-in shelf system unpacks like a closet,https://solgaard.co/products/carry-on-closet
"Travelpro Maxlite 5 Softside 19"" 4-wheel",Soft-side,55.2,40,19.6,,"Trusty brand, good durability & lots of pockets",https://travelpro.com/products/maxlite%C2%AE-5-international-expandable-carry-on-spinner
"Travelpro Maxlite 5 Softside 20"" 2-wheel",Soft-side,55.2,40,19.6,,2-wheel has a litle more interior space than the 4 wheel,https://travelpro.com/products/maxlite%C2%AE-5-international-expandable-carry-on-rollaboard%C2%AE
"Travelpro Platinum Elite 21"" Carry-On Spinner",Soft-side,59.69,36.83,22.86,3.54,Wirecutter's top carry-on pick several years running; replaceable wheels,https://travelpro.com/products/platinum-elite-21-expandable-carry-on-spinner
Tumi 19 Degree International Carry-On,Luxury,55,35.5,23,3.6,Sculpted polycarbonate; expands to ~28 cm deep — check before you expand; ~$800,https://www.tumi.com/p/expandable-carry-on-01396831041/
